,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
35052,1846-05-01,13.057,1.529,Changchun,China,44.20N,125.22E
35053,1846-06-01,20.893,1.556,Changchun,China,44.20N,125.22E
35054,1846-07-01,24.266,1.062,Changchun,China,44.20N,125.22E
35055,1846-08-01,22.371,0.977,Changchun,China,44.20N,125.22E
35056,1846-09-01,15.914,1.088,Changchun,China,44.20N,125.22E
35057,1846-10-01,6.458,1.708,Changchun,China,44.20N,125.22E
35058,1846-11-01,-5.308,1.387,Changchun,China,44.20N,125.22E
35059,1846-12-01,-12.634,1.514,Changchun,China,44.20N,125.22E
35060,1847-01-01,-15.121,1.701,Changchun,China,44.20N,125.22E
35061,1847-02-01,-12.668,1.587,Changchun,China,44.20N,125.22E
35062,1847-03-01,-4.255,2.209,Changchun,China,44.20N,125.22E
35063,1847-04-01,6.906,1.351,Changchun,China,44.20N,125.22E
35064,1847-05-01,14.012,1.059,Changchun,China,44.20N,125.22E
35065,1847-06-01,19.549,1.519,Changchun,China,44.20N,125.22E
35066,1847-07-01,22.577,2.894,Changchun,China,44.20N,125.22E
35067,1847-08-01,20.87,1.006,Changchun,China,44.20N,125.22E
35068,1847-09-01,14.704,1.677,Changchun,China,44.20N,125.22E
35069,1847-10-01,6.207,1.086,Changchun,China,44.20N,125.22E
35070,1847-11-01,-2.121,1.671,Changchun,China,44.20N,125.22E
35071,1847-12-01,-13.906,2.321,Changchun,China,44.20N,125.22E
35072,1848-01-01,-18.533,2.056,Changchun,China,44.20N,125.22E
35073,1848-02-01,-10.426,1.708,Changchun,China,44.20N,125.22E
35074,1848-03-01,-2.466,1.347,Changchun,China,44.20N,125.22E
35075,1848-04-01,6.532,1.334,Changchun,China,44.20N,125.22E
35076,1848-05-01,13.907,1.639,Changchun,China,44.20N,125.22E
35077,1848-06-01,20.307,2.055,Changchun,China,44.20N,125.22E
35078,1848-07-01,23.068,1.148,Changchun,China,44.20N,125.22E
35079,1848-08-01,20.583,1.395,Changchun,China,44.20N,125.22E
35080,1848-09-01,15.06,1.088,Changchun,China,44.20N,125.22E
35081,1848-10-01,6.289,0.874,Changchun,China,44.20N,125.22E
35082,1848-11-01,-4.154,1.782,Changchun,China,44.20N,125.22E
35083,1848-12-01,-11.527,3.061,Changchun,China,44.20N,125.22E
35084,1849-01-01,-13.663,4.218,Changchun,China,44.20N,125.22E
35085,1849-02-01,-10.217,1.455,Changchun,China,44.20N,125.22E
35086,1849-03-01,-1.856,2.004,Changchun,China,44.20N,125.22E
35087,1849-04-01,5.762,2.801,Changchun,China,44.20N,125.22E
35088,1849-05-01,13.677,1.167,Changchun,China,44.20N,125.22E
35089,1849-06-01,20.171,1.384,Changchun,China,44.20N,125.22E
35090,1849-07-01,22.198,1.512,Changchun,China,44.20N,125.22E
35091,1849-08-01,21.997,0.942,Changchun,China,44.20N,125.22E
35092,1849-09-01,15.037,1.196,Changchun,China,44.20N,125.22E
35093,1849-10-01,5.532,1.616,Changchun,China,44.20N,125.22E
35094,1849-11-01,-4.539,2.416,Changchun,China,44.20N,125.22E
35095,1849-12-01,-15.389,1.722,Changchun,China,44.20N,125.22E
35096,1850-01-01,-18.003,1.929,Changchun,China,44.20N,125.22E
35097,1850-02-01,-12.38,1.944,Changchun,China,44.20N,125.22E
35098,1850-03-01,-2.967,3.161,Changchun,China,44.20N,125.22E
35099,1850-04-01,3.341,3.197,Changchun,China,44.20N,125.22E
35100,1850-05-01,13.808,1.326,Changchun,China,44.20N,125.22E
35101,1850-06-01,19.693,1.368,Changchun,China,44.20N,125.22E
35102,1850-07-01,23.006,1.026,Changchun,China,44.20N,125.22E
35103,1850-08-01,20.685,1.974,Changchun,China,44.20N,125.22E
35104,1850-09-01,14.424,1.155,Changchun,China,44.20N,125.22E
35105,1850-10-01,4.659,1.275,Changchun,China,44.20N,125.22E
35106,1850-11-01,-8.402,1.562,Changchun,China,44.20N,125.22E
35107,1850-12-01,-14.947,1.961,Changchun,China,44.20N,125.22E
35108,1851-01-01,-16.576,1.172,Changchun,China,44.20N,125.22E
35109,1851-02-01,-13.145,1.696,Changchun,China,44.20N,125.22E
35110,1851-03-01,-6.571,1.851,Changchun,China,44.20N,125.22E
35111,1851-04-01,3.066,3.567,Changchun,China,44.20N,125.22E
35112,1851-05-01,13.21,1.992,Changchun,China,44.20N,125.22E
35113,1851-06-01,21.08,1.401,Changchun,China,44.20N,125.22E
35114,1851-07-01,23.553,1.608,Changchun,China,44.20N,125.22E
35115,1851-08-01,20.451,2.056,Changchun,China,44.20N,125.22E
35116,1851-09-01,14.048,1.147,Changchun,China,44.20N,125.22E
35117,1851-10-01,4.005,3.424,Changchun,China,44.20N,125.22E
35118,1851-11-01,-7.839,3.927,Changchun,China,44.20N,125.22E
35119,1851-12-01,-16.898,6.165,Changchun,China,44.20N,125.22E
35120,1852-01-01,-18.529,4.097,Changchun,China,44.20N,125.22E
35121,1852-02-01,-16.253,2.874,Changchun,China,44.20N,125.22E
35122,1852-03-01,-7.261,3.608,Changchun,China,44.20N,125.22E
35123,1852-04-01,4.154,2.808,Changchun,China,44.20N,125.22E
35124,1852-05-01,13.117,2.854,Changchun,China,44.20N,125.22E
35125,1852-06-01,20.788,0.944,Changchun,China,44.20N,125.22E
35126,1852-07-01,23.652,1.476,Changchun,China,44.20N,125.22E
35127,1852-08-01,20.432,1.027,Changchun,China,44.20N,125.22E
35128,1852-09-01,14.298,1.036,Changchun,China,44.20N,125.22E
35129,1852-10-01,6.273,1.274,Changchun,China,44.20N,125.22E
35130,1852-11-01,-6.779,2.971,Changchun,China,44.20N,125.22E
35131,1852-12-01,-12.37,2.569,Changchun,China,44.20N,125.22E
35132,1853-01-01,-18.439,3.179,Changchun,China,44.20N,125.22E
35133,1853-02-01,-16.338,3.318,Changchun,China,44.20N,125.22E
35134,1853-03-01,-6.075,3.078,Changchun,China,44.20N,125.22E
35135,1853-04-01,3.634,2.238,Changchun,China,44.20N,125.22E
